Time,Amplitude
0.000000,15.328502
0.004000,19.372384
0.008001,20.788560
0.012001,25.340855
0.016001,27.509918
0.020001,28.876695
0.024002,26.181454
0.028002,25.637572
0.032002,22.785712
0.036002,23.140495
0.040003,19.418450
0.044003,19.235740
0.048003,18.935556
0.052003,19.749500
0.056004,17.825293
0.060004,17.218090
0.064004,15.002883
0.068005,15.797394
0.072005,12.281262
0.076005,12.885146
0.080005,14.228076
0.084006,11.215527
0.088006,11.323131
0.092006,10.182590
0.096006,12.297605
0.100007,10.214298
0.104007,9.802077
0.108007,15.514237
0.112007,17.024272
0.116008,18.006731
0.120008,20.921272
0.124008,19.974247
0.128009,18.676658
0.132009,21.252629
0.136009,17.396308
0.140009,17.553998
0.144010,13.174503
0.148010,7.859257
0.152010,11.637781
0.156010,7.473436
0.160011,8.605103
0.164011,8.897541
0.168011,8.743629
0.172011,12.553861
0.176012,15.366464
0.180012,14.750878
0.184012,17.669845
0.188013,19.124698
0.192013,18.796384
0.196013,18.506477
0.200013,21.075390
0.204014,17.409705
0.208014,19.463454
0.212014,24.283494
0.216014,22.515021
0.220015,25.976026
0.224015,25.855121
0.228015,25.772990
0.232015,24.676034
0.236016,23.826229
0.240016,23.811249
0.244016,21.153787
0.248017,16.774415
0.252017,13.391059
0.256017,10.574225
0.260017,8.048362
0.264018,6.930343
0.268018,3.492518
0.272018,5.240526
0.276018,4.798039
0.280019,3.016554
0.284019,6.605939
0.288019,6.240992
0.292019,12.203316
0.296020,11.934878
0.300020,11.919250
0.304020,8.232571
0.308021,12.448035
0.312021,14.970534
0.316021,13.760706
0.320021,13.094305
0.324022,14.640385
0.328022,17.177315
0.332022,19.870288
0.336022,19.184028
0.340023,21.821975
0.344023,20.068382
0.348023,22.101853
0.352023,17.394692
0.356024,15.154172
0.360024,14.878178
0.364024,12.577518
0.368025,9.050051
0.372025,8.778636
0.376025,9.276948
0.380025,9.886310
0.384026,12.424172
0.388026,11.408959
0.392026,14.777071
0.396026,17.194455
0.400027,19.710579
0.404027,20.017620
0.408027,22.070997
0.412027,20.732500
0.416028,17.767559
0.420028,15.989369
0.424028,13.528687
0.428029,12.658129
0.432029,14.423740
0.436029,12.427266
0.440029,14.477879
0.444030,12.810500
0.448030,13.967647
0.452030,12.387404
0.456030,9.801045
0.460031,7.287629
0.464031,7.620840
0.468031,5.336062
0.472031,4.078928
0.476032,2.144614
0.480032,3.376347
0.484032,3.654275
0.488033,4.861191
0.492033,8.629282
0.496033,10.962553
0.500033,14.169117
0.504034,16.509357
0.508034,22.503024
0.512034,27.393632
0.516034,27.242311
0.520035,23.812910
0.524035,24.693832
0.528035,27.248558
0.532035,22.873298
0.536036,20.182501
0.540036,23.444366
0.544036,20.400395
0.548037,19.196995
0.552037,15.539703
0.556037,19.166398
0.560037,16.250469
0.564038,16.127917
0.568038,13.703559
0.572038,15.740290
0.576038,13.838149
0.580039,14.015337
0.584039,11.114955
0.588039,9.193208
0.592039,7.013421
0.596040,9.993364
0.600040,10.638058
0.604040,11.876549
0.608041,14.906059
0.612041,16.847706
0.616041,19.402070
0.620041,19.357163
0.624042,23.303895
0.628042,23.566765
0.632042,19.004576
0.636042,16.356419
0.640043,15.118119
0.644043,12.425072
0.648043,11.797696
0.652043,10.869377
0.656044,13.122071
0.660044,8.723404
0.664044,8.855479
0.668045,12.394016
0.672045,12.975261
0.676045,13.796462
0.680045,11.914367
0.684046,18.347541
0.688046,18.035769
0.692046,18.446086
0.696046,19.107650
0.700047,21.516300
0.704047,19.734975
0.708047,20.334396
0.712047,21.620586
0.716048,21.006900
0.720048,23.802363
0.724048,25.490008
0.728049,25.333093
0.732049,24.404282
0.736049,25.420491
0.740049,24.250298
0.744050,17.278176
0.748050,16.862819
0.752050,13.390530
0.756050,9.669057
0.760051,7.658717
0.764051,5.275655
0.768051,5.240715
0.772051,2.592447
0.776052,5.422759
0.780052,5.824691
0.784052,8.465277
0.788053,9.328695
0.792053,9.962205
0.796053,10.043212
0.800053,10.864531
0.804054,12.702877
0.808054,10.837594
0.812054,11.391571
0.816054,12.362649
0.820055,14.651896
0.824055,14.245483
0.828055,17.123603
0.832055,19.166353
0.836056,21.231720
0.840056,18.709772
0.844056,23.130332
0.848057,22.096318
0.852057,16.417101
0.856057,16.170045
0.860057,13.767482
0.864058,12.724834
0.868058,10.374805
0.872058,8.461424
0.876058,7.296267
0.880059,9.664072
0.884059,10.902396
0.888059,12.839098
0.892059,17.031240
0.896060,16.603357
0.900060,19.010301
0.904060,18.414591
0.908061,21.217725
0.912061,20.313148
0.916061,18.534024
0.920061,17.659547
0.924062,15.658257
0.928062,14.502874
0.932062,14.174495
0.936062,12.756745
0.940063,14.364020
0.944063,13.170535
0.948063,9.963756
0.952063,11.496475
0.956064,10.541166
0.960064,7.201514
0.964064,4.837431
0.968065,6.857353
0.972065,4.452004
0.976065,4.031175
0.980065,4.401727
0.984066,1.404664
0.988066,6.455440
0.992066,6.290272
0.996066,13.826207
1.000067,14.931164
1.004067,16.126829
1.008067,22.074452
1.012067,24.678007
1.016068,26.389379
1.020068,27.917902
1.024068,23.966015
1.028069,25.419133
1.032069,22.696540
1.036069,22.671474
1.040069,20.506649
1.044070,18.658062
1.048070,16.802944
1.052070,18.803903
1.056070,17.110999
1.060071,18.875420
1.064071,18.170273
1.068071,15.464550
1.072071,16.336089
1.076072,14.633542
1.080072,12.666875
1.084072,11.677423
1.088073,11.803385
1.092073,13.688141
1.096073,8.135837
1.100073,12.433295
1.104074,11.515392
1.108074,15.496051
1.112074,17.861297
1.116074,15.262419
1.120075,18.649267
1.124075,20.874370
1.128075,20.807065
1.132075,17.468809
1.136076,19.119319
1.140076,15.474831
1.144076,15.560943
1.148077,12.499976
1.152077,9.506761
1.156077,7.626588
1.160077,8.833232
1.164078,13.415096
1.168078,12.395341
1.172078,12.272705
1.176078,14.423008
1.180079,14.060586
1.184079,14.910600
1.188079,16.995882
1.192079,17.103682
1.196080,15.532106
1.200080,18.526433
1.204080,21.013940
1.208081,21.119753
1.212081,20.496489
1.216081,23.937504
1.220081,24.699542
1.224082,23.937797
1.228082,28.683429
1.232082,26.590630
1.236082,27.404931
1.240083,23.226005
1.244083,18.570411
1.248083,16.258546
1.252083,11.205365
1.256084,10.041422
1.260084,7.576008
1.264084,6.825560
1.268085,5.575772
1.272085,5.600480
1.276085,4.495673
1.280085,4.922975
1.284086,7.788069
1.288086,8.016419
1.292086,8.739706
1.296086,11.713513
1.300087,11.685700
1.304087,10.250588
1.308087,13.088479
1.312087,14.340475
1.316088,13.892164
1.320088,13.421306
1.324088,16.663583
1.328089,15.632261
1.332089,19.617215
1.336089,18.788697
1.340089,21.892472
1.344090,23.165816
1.348090,18.432047
1.352090,17.293021
1.356090,19.663071
1.360091,12.272246
1.364091,14.654982
1.368091,9.638497
1.372091,7.066729
1.376092,6.638194
1.380092,8.594577
1.384092,11.831461
1.388093,11.330151
1.392093,13.314748
1.396093,18.265943
1.400093,19.333398
1.404094,20.994975
1.408094,21.311313
1.412094,19.377131
1.416094,17.398558
1.420095,18.298118
1.424095,15.792860
1.428095,15.292665
1.432095,13.283386
1.436096,13.428691
1.440096,13.997991
1.444096,11.639720
1.448097,12.013119
1.452097,11.224888
1.456097,10.990114
1.460097,11.041345
1.464098,7.235351
1.468098,6.436335
1.472098,4.127346
1.476098,5.639205
1.480099,2.263373
1.484099,4.987199
1.488099,8.720715
1.492099,8.539769
1.496100,12.382343
1.500100,16.758347
1.504100,18.247768
1.508101,21.987431
1.512101,26.131611
1.516101,24.644536
1.520101,25.386201
1.524102,30.194890
1.528102,23.631050
1.532102,24.827542
1.536102,21.824007
1.540103,19.439367
1.544103,19.758286
1.548103,18.055754
1.552103,18.931799
1.556104,19.480324
1.560104,16.850883
1.564104,17.698845
1.568105,16.590299
1.572105,14.620116
1.576105,14.050874
1.580105,11.781090
1.584106,11.695330
1.588106,11.747240
1.592106,10.342522
1.596106,10.403238
1.600107,11.337552
1.604107,12.684703
1.608107,16.633164
1.612107,17.572669
1.616108,19.929048
1.620108,20.467180
1.624108,18.160388
1.628109,22.096445
1.632109,17.435173
1.636109,19.916334
1.640109,16.656483
1.644110,16.089060
1.648110,11.580967
1.652110,13.529417
1.656110,10.487645
1.660111,8.542144
1.664111,8.387746
1.668111,11.673288
1.672111,13.046235
1.676112,17.162497
1.680112,16.507918
1.684112,16.802756
1.688113,17.970435
1.692113,17.894847
1.696113,17.557916
1.700113,20.419058
1.704114,20.148954
1.708114,19.961479
1.712114,23.403271
1.716114,22.266801
1.720115,24.858528
1.724115,28.422402
1.728115,26.588849
1.732115,26.628860
1.736116,27.587835
1.740116,24.712505
1.744116,20.485896
1.748117,19.158381
1.752117,12.086252
1.756117,11.469817
1.760117,5.557243
1.764118,4.485533
1.768118,3.404140
1.772118,4.329157
1.776118,3.738956
1.780119,5.882768
1.784119,9.265812
1.788119,8.659189
1.792119,10.479262
1.796120,12.072249
1.800120,11.148874
1.804120,10.446352
1.808121,13.476613
1.812121,14.596632
1.816121,14.323775
1.820121,14.034486
1.824122,14.496449
1.828122,16.648158
1.832122,17.190418
1.836122,20.681691
1.840123,19.855663
1.844123,19.522068
1.848123,20.737516
1.852123,18.288896
1.856124,14.780124
1.860124,14.250992
1.864124,11.361846
1.868125,6.462920
1.872125,8.967392
1.876125,7.803578
1.880125,10.070794
1.884126,11.366048
1.888126,11.234984
1.892126,15.371185
1.896126,16.551542
1.900127,18.332821
1.904127,22.242582
1.908127,18.970383
1.912127,20.217060
1.916128,18.867473
1.920128,17.159363
1.924128,18.348878
1.928129,15.036214
1.932129,16.843049
1.936129,13.297694
1.940129,12.665038
1.944130,11.092446
1.948130,10.074092
1.952130,8.355693
1.956130,14.093169
1.960131,10.656179
1.964131,9.443902
1.968131,4.052151
1.972131,5.402606
1.976132,3.393935
1.980132,2.541491
1.984132,2.556977
1.988133,6.013153
1.992133,7.298553
1.996133,9.657683
2.000133,11.399081
2.004134,18.697184
2.008134,20.800940
2.012134,24.674600
2.016134,26.287815
2.020135,28.234962
2.024135,25.241579
2.028135,25.384515
2.032135,22.936784
2.036136,22.235316
2.040136,18.985526
2.044136,18.723512
2.048137,18.649760
2.052137,19.342897
2.056137,17.117922
2.060137,18.973305
2.064138,16.057569
2.068138,17.499835
2.072138,13.386152
2.076138,14.919686
2.080139,11.956239
2.084139,11.176242
2.088139,11.554419
2.092139,10.078506
2.096140,11.026072
2.100140,11.004421
2.104140,12.161545
2.108141,16.719764
2.112141,16.647803
2.116141,20.919964
2.120141,19.922510
2.124142,19.980553
2.128142,19.895269
2.132142,18.139652
2.136142,17.231632
2.140143,12.398038
2.144143,12.076365
2.148143,13.537992
2.152143,11.114095
2.156144,11.595278
2.160144,8.430675
2.164144,10.534235
2.168145,14.383102
2.172145,15.111315
2.176145,11.285857
2.180145,13.792030
2.184146,16.248916
2.188146,16.240416
2.192146,19.360350
2.196146,18.020016
2.200147,21.087810
2.204147,17.924411
2.208147,21.381762
2.212147,21.034584
2.216148,23.757544
2.220148,28.280038
2.224148,24.926456
2.228149,27.440257
2.232149,25.968907
2.236149,26.435016
2.240149,22.818910
2.244150,20.266323
2.248150,15.933808
2.252150,9.348657
2.256150,11.629964
2.260151,8.143808
2.264151,3.897801
2.268151,2.544481
2.272151,2.678623
2.276152,4.008731
2.280152,6.047785
2.284152,7.415798
2.288153,7.531373
2.292153,7.873871
2.296153,11.906621
2.300153,8.494462
2.304154,11.089261
2.308154,14.428329
2.312154,10.497364
2.316154,12.617941
2.320155,14.043409
2.324155,15.591560
2.328155,16.531710
2.332155,17.511317
2.336156,21.305474
2.340156,20.367806
2.344156,19.748239
2.348157,17.186438
2.352157,17.976459
2.356157,16.167751
2.360157,14.937067
2.364158,12.032961
2.368158,11.868374
2.372158,10.166226
2.376158,9.214413
2.380159,13.180900
2.384159,13.577677
2.388159,14.931920
2.392159,11.770380
2.396160,17.079487
2.400160,16.950510
2.404160,22.023702
2.408161,19.524981
2.412161,19.778036
2.416161,19.169436
2.420161,18.468079
2.424162,17.005635
2.428162,15.141533
2.432162,12.387068
2.436162,13.369347
2.440163,13.752174
2.444163,15.259301
2.448163,8.463878
2.452163,9.587740
2.456164,9.243255
2.460164,10.128639
2.464164,10.527721
2.468165,5.863443
2.472165,4.912020
2.476165,7.483824
2.480165,1.205401
2.484166,4.458187
2.488166,4.438424
2.492166,5.369370
2.496166,11.962381
2.500167,12.736486
2.504167,18.504138
2.508167,23.709901
2.512167,21.721356
2.516168,26.596611
2.520168,26.743512
2.524168,25.581685
2.528169,26.025256
2.532169,24.512682
2.536169,22.492985
2.540169,19.231531
2.544170,20.566074
2.548170,20.784052
2.552170,18.458583
2.556170,15.877228
2.560171,16.569552
2.564171,15.708846
2.568171,15.112824
2.572171,16.066887
2.576172,12.681796
2.580172,11.831532
2.584172,8.519002
2.588173,9.660443
2.592173,9.995754
2.596173,12.623917
2.600173,8.773394
2.604174,14.206552
2.608174,13.329523
2.612174,18.239736
2.616174,19.463926
2.620175,22.027068
2.624175,22.756032
2.628175,20.527907
2.632175,21.483018
2.636176,22.505986
2.640176,16.436647
2.644176,13.264714
2.648177,12.304715
2.652177,12.220123
2.656177,8.804333
2.660177,7.377616
2.664178,9.519999
2.668178,14.462077
2.672178,14.268559
2.676178,13.581772
2.680179,17.453462
2.684179,15.424639
2.688179,12.895920
2.692179,16.208336
2.696180,21.159642
2.700180,17.595505
2.704180,19.728617
2.708181,19.352819
2.712181,22.378560
2.716181,21.279456
2.720181,26.110524
2.724182,22.974701
2.728182,25.919544
2.732182,25.052356
2.736182,26.259035
2.740183,23.224913
2.744183,18.445388
2.748183,19.001546
2.752183,15.362576
2.756184,10.803519
2.760184,6.112945
2.764184,4.549076
2.768185,2.508652
2.772185,2.753469
2.776185,6.138751
2.780185,7.371541
2.784186,5.498990
2.788186,9.594243
2.792186,11.436976
2.796186,11.197376
2.800187,9.532023
2.804187,12.811919
2.808187,12.778900
2.812187,13.495142
2.816188,12.834823
2.820188,14.283937
2.824188,17.947649
2.828189,15.473973
2.832189,20.288654
2.836189,16.110305
2.840189,17.352146
2.844190,21.953861
2.848190,19.903254
2.852190,19.215861
2.856190,16.708815
2.860191,12.913538
2.864191,11.762395
2.868191,8.373477
2.872191,9.564939
2.876192,6.096828
2.880192,8.642675
2.884192,10.456840
2.888193,13.057191
2.892193,16.852770
2.896193,18.053533
2.900193,18.780669
2.904194,23.190773
2.908194,21.592639
2.912194,19.110010
2.916194,18.558503
2.920195,19.032762
2.924195,15.580452
2.928195,15.883812
2.932195,13.082611
2.936196,12.959774
2.940196,16.649727
2.944196,12.082332
2.948197,9.643676
2.952197,11.443089
2.956197,11.047134
2.960197,7.934252
2.964198,4.489267
2.968198,5.548848
2.972198,6.374547
2.976198,4.364698
2.980199,3.570357
2.984199,4.548994
2.988199,5.178936
2.992199,7.952593
2.996200,9.660826
3.000200,15.770743
3.004200,18.755236
3.008201,24.747977
3.012201,23.156279
3.016201,26.710946
3.020201,27.118758
3.024202,25.226730
3.028202,24.678232
3.032202,22.772760
3.036202,20.957586
3.040203,22.169677
3.044203,21.119700
3.048203,17.531554
3.052203,17.354467
3.056204,15.775547
3.060204,18.175215
3.064204,14.761075
3.068205,15.392230
3.072205,15.237140
3.076205,13.475696
3.080205,13.096419
3.084206,9.203618
3.088206,11.435691
3.092206,10.377699
3.096206,9.441511
3.100207,8.254405
3.104207,11.246114
3.108207,16.242902
3.112207,19.348571
3.116208,20.995780
3.120208,20.888129
3.124208,19.874789
3.128209,22.423386
3.132209,14.604391
3.136209,17.825778
3.140209,16.611149
3.144210,13.508734
3.148210,10.941128
3.152210,10.543843
3.156210,10.468459
3.160211,7.938095
3.164211,10.896573
3.168211,12.045055
3.172211,15.939388
3.176212,12.659799
3.180212,15.131867
3.184212,17.020776
3.188213,18.413263
3.192213,20.587261
3.196213,17.530199
3.200213,20.133587
3.204214,19.919087
3.208214,20.416814
3.212214,19.928608
3.216214,25.251442
3.220215,24.459261
3.224215,24.194079
3.228215,25.301519
3.232215,26.057003
3.236216,27.584518
3.240216,22.169930
3.244216,23.267723
3.248217,17.348229
3.252217,12.381670
3.256217,10.302870
3.260217,4.173468
3.264218,7.280402
3.268218,0.177117
3.272218,3.706556
3.276218,3.382033
3.280219,4.943221
3.284219,8.346193
3.288219,9.851032
3.292219,10.142231
3.296220,11.983307
3.300220,11.221781
3.304220,14.387197
3.308221,12.677185
3.312221,15.128244
3.316221,15.357525
3.320221,15.032339
3.324222,15.958186
3.328222,20.579045
3.332222,16.794941
3.336222,18.223188
3.340223,20.410735
3.344223,21.364952
3.348223,22.344307
3.352223,16.388241
3.356224,13.719372
3.360224,12.240776
3.364224,11.762895
3.368225,6.203179
3.372225,9.898276
3.376225,9.027636
3.380225,10.374052
3.384226,13.974898
3.388226,15.515522
3.392226,15.276406
3.396226,16.442628
3.400227,16.992178
3.404227,19.960615
3.408227,21.040575
3.412227,20.240297
3.416228,17.429806
3.420228,17.073362
3.424228,17.554430
3.428229,15.687089
3.432229,12.650808
3.436229,11.762334
3.440229,11.604649
3.444230,14.926096
3.448230,11.571841
3.452230,12.050642
3.456230,9.935156
3.460231,10.735680
3.464231,8.810520
3.468231,5.330943
3.472231,7.322966
3.476232,3.826729
3.480232,2.466951
3.484232,2.169324
3.488233,6.828578
3.492233,7.579951
3.496233,12.101514
3.500233,15.626595
3.504234,17.847832
3.508234,22.347247
3.512234,24.435382
3.516234,23.219796
3.520235,25.850537
3.524235,27.815034
3.528235,25.809978
3.532235,23.508665
3.536236,27.418632
3.540236,24.106736
3.544236,18.686972
3.548237,19.116099
3.552237,18.519963
3.556237,19.879903
3.560237,15.941909
3.564238,17.093437
3.568238,16.866264
3.572238,15.041265
3.576238,14.485524
3.580239,11.981739
3.584239,12.659668
3.588239,13.160810
3.592239,10.611349
3.596240,10.028272
3.600240,11.199673
3.604240,13.028463
3.608241,14.443690
3.612241,16.816357
3.616241,17.123075
3.620241,22.690699
3.624242,20.312806
3.628242,21.058324
3.632242,19.576626
3.636242,18.793627
3.640243,16.157829
3.644243,11.093607
3.648243,15.263031
3.652243,12.495338
3.656244,9.589175
3.660244,9.759396
3.664244,11.454434
3.668245,11.245757
3.672245,13.597325
3.676245,14.966969
3.680245,14.548603
3.684246,15.470748
3.688246,17.825055
3.692246,17.496606
3.696246,17.932949
3.700247,19.741496
3.704247,16.426510
3.708247,19.099734
3.712247,20.796451
3.716248,23.271067
3.720248,24.844545
3.724248,25.418944
3.728249,25.669257
3.732249,25.316176
3.736249,22.922262
3.740249,20.788674
3.744250,20.841868
3.748250,16.782690
3.752250,15.160148
3.756250,10.826912
3.760251,7.009524
3.764251,4.024622
3.768251,3.889719
3.772251,2.059287
3.776252,5.963299
3.780252,6.739992
3.784252,8.090692
3.788253,6.737034
3.792253,10.725134
3.796253,11.767268
3.800253,10.868801
3.804254,12.229917
3.808254,13.437114
3.812254,9.826519
3.816254,11.449454
3.820255,12.287282
3.824255,14.877763
3.828255,16.847985
3.832255,20.113429
3.836256,17.160380
3.840256,22.221371
3.844256,21.702533
3.848257,16.317756
3.852257,19.626573
3.856257,17.204115
3.860257,12.417748
3.864258,12.497854
3.868258,10.288818
3.872258,8.556629
3.876258,6.446899
3.880259,9.496788
3.884259,11.541255
3.888259,10.191290
3.892259,13.335817
3.896260,17.284579
3.900260,21.570346
3.904260,18.225029
3.908261,21.835907
3.912261,16.992551
3.916261,15.815791
3.920261,15.358157
3.924262,17.271733
3.928262,16.246503
3.932262,12.272787
3.936262,14.891819
3.940263,12.740611
3.944263,11.512214
3.948263,11.248801
3.952263,10.984343
3.956264,6.171563
3.960264,9.425653
3.964264,7.751164
3.968265,6.436817
3.972265,3.826871
3.976265,3.320447
3.980265,6.579611
3.984266,3.343770
3.988266,5.790753
3.992266,10.418015
3.996266,12.121846
4.000267,14.869462
4.004267,15.904804
4.008267,25.290344
4.012267,26.309698
4.016268,26.941060
4.020268,28.504204
4.024268,24.977270
4.028269,26.774237
4.032269,22.499576
4.036269,21.450662
4.040269,19.278673
4.044270,17.207481
4.048270,16.805059
4.052270,17.834472
4.056270,16.759052
4.060271,17.854664
4.064271,14.178476
4.068271,15.944941
4.072271,17.925646
4.076272,12.605647
4.080272,10.774479
4.084272,13.376641
4.088273,8.849154
4.092273,11.135092
4.096273,8.530922
4.100273,12.410769
4.104274,13.172239
4.108274,16.442751
4.112274,18.381666
4.116274,19.521582
4.120275,21.330960
4.124275,22.912420
4.128275,23.854546
4.132275,18.825697
4.136276,17.622340
4.140276,15.384335
4.144276,12.072422
4.148277,10.095669
4.152277,9.731008
4.156277,10.347119
4.160277,8.767620
4.164278,7.686450
4.168278,12.994774
4.172278,13.168631
4.176278,15.852753
4.180279,16.212978
4.184279,16.562408
4.188279,15.843150
4.192279,17.724717
4.196280,17.135263
4.200280,17.390480
4.204280,18.060988
4.208281,20.560866
4.212281,24.149262
4.216281,23.321333
4.220281,22.751311
4.224282,26.412200
4.228282,24.939110
4.232282,25.928201
4.236282,26.640188
4.240283,23.321738
4.244283,17.556230
4.248283,15.889255
4.252283,12.972684
4.256284,8.955683
4.260284,10.214535
4.264284,5.276452
4.268285,4.047346
4.272285,4.255567
4.276285,2.819857
4.280285,5.536211
4.284286,6.643504
4.288286,8.320852
4.292286,9.711864
4.296286,11.333120
4.300287,13.372222
4.304287,11.339067
4.308287,10.302039
4.312287,12.492166
4.316288,15.389471
4.320288,13.370739
4.324288,14.066747
4.328289,20.359435
4.332289,20.915113
4.336289,19.115291
4.340289,20.664198
4.344290,20.620506
4.348290,20.255887
4.352290,16.312263
4.356290,17.884730
4.360291,15.342265
4.364291,11.652798
4.368291,10.125280
4.372291,8.446214
4.376292,7.969871
4.380292,9.179074
4.384292,11.580241
4.388293,14.148585
4.392293,13.713322
4.396293,17.493548
4.400293,16.678100
4.404294,21.928370
4.408294,21.143010
4.412294,19.799588
4.416294,17.307002
4.420295,18.844849
4.424295,15.525742
4.428295,14.528731
4.432295,12.291774
4.436296,12.938775
4.440296,11.182705
4.444296,13.257778
4.448297,11.652622
4.452297,12.514052
4.456297,9.858406
4.460297,11.591156
4.464298,7.524752
4.468298,5.903350
4.472298,4.123832
4.476298,5.444124
4.480299,4.288073
4.484299,4.059444
4.488299,7.941168
4.492299,8.312156
4.496300,7.999435
4.500300,16.145180
4.504300,20.636906
4.508301,23.686529
4.512301,22.120812
4.516301,25.595068
4.520301,28.078011
4.524302,28.700167
4.528302,26.155209
4.532302,24.229982
4.536302,23.076412
4.540303,19.917435
4.544303,18.909553
4.548303,18.484495
4.552303,15.991974
4.556304,15.740828
4.560304,19.375607
4.564304,15.993315
4.568305,16.745903
4.572305,16.037802
4.576305,14.314376
4.580305,12.175707
4.584306,10.456370
4.588306,9.057943
4.592306,9.474131
4.596306,9.501955
4.600307,12.033185
4.604307,13.144245
4.608307,13.516213
4.612307,20.701681
4.616308,18.789078
4.620308,19.905556
4.624308,18.254893
4.628309,21.066242
4.632309,18.765218
4.636309,16.201772
4.640309,16.258153
4.644310,13.389260
4.648310,14.389475
4.652310,10.971325
4.656310,11.036871
4.660311,11.998291
4.664311,7.378643
4.668311,11.298243
4.672311,12.967340
4.676312,16.115297
4.680312,14.405540
4.684312,17.510362
4.688313,17.447596
4.692313,18.214800
4.696313,17.522903
4.700313,18.041630
4.704314,19.682695
4.708314,21.401595
4.712314,20.772937
4.716314,21.452677
4.720315,22.449155
4.724315,23.801354
4.728315,29.552819
4.732315,25.190078
4.736316,24.251378
4.740316,22.596646
4.744316,20.121314
4.748317,16.334417
4.752317,12.573940
4.756317,11.182559
4.760317,6.019863
4.764318,4.346221
4.768318,2.143207
4.772318,3.600754
4.776318,2.893199
4.780319,4.509832
4.784319,9.045474
4.788319,6.364149
4.792319,9.158949
4.796320,9.749434
4.800320,11.919917
4.804320,11.542656
4.808321,13.925459
4.812321,13.842572
4.816321,12.850879
4.820321,15.782307
4.824322,14.059970
4.828322,19.766450
4.832322,19.568444
4.836322,17.882624
4.840323,21.107197
4.844323,21.454197
4.848323,19.808038
4.852323,18.601872
4.856324,16.575532
4.860324,14.878416
4.864324,11.736218
4.868325,11.046886
4.872325,8.599892
4.876325,10.105845
4.880325,11.464844
4.884326,13.279023
4.888326,14.250524
4.892326,14.431428
4.896326,18.222335
4.900327,22.265546
4.904327,23.649586
4.908327,18.446399
4.912327,18.874166
4.916328,21.201972
4.920328,17.130216
4.924328,16.333659
4.928329,14.928151
4.932329,14.740689
4.936329,13.905185
4.940329,14.696515
4.944330,12.188722
4.948330,9.916765
4.952330,11.516444
4.956330,9.974585
4.960331,9.093953
4.964331,6.061618
4.968331,7.759252
4.972331,4.701946
4.976332,5.516260
4.980332,2.323901
4.984332,5.609498
4.988333,7.626157
4.992333,7.565933
4.996333,13.162485
5.000333,15.830606
5.004334,19.636169
5.008334,21.621150
5.012334,26.325755
5.016334,27.948987
5.020335,27.087787
5.024335,26.483948
5.028335,24.145178
5.032335,21.584341
5.036336,20.549946
5.040336,20.495389
5.044336,19.526133
5.048337,18.973437
5.052337,19.199012
5.056337,15.453459
5.060337,16.390841
5.064338,15.893308
5.068338,12.919527
5.072338,15.316957
5.076338,12.797434
5.080339,11.313313
5.084339,7.905058
5.088339,9.057261
5.092339,11.932248
5.096340,10.440635
5.100340,10.235128
5.104340,12.288178
5.108341,15.193636
5.112341,15.347855
5.116341,19.975940
5.120341,22.681688
5.124342,23.435113
5.128342,20.753361
5.132342,21.155781
5.136342,17.774299
5.140343,17.753849
5.144343,13.997620
5.148343,11.419311
5.152343,11.764624
5.156344,12.191018
5.160344,11.102000
5.164344,11.430517
5.168345,12.569572
5.172345,9.540563
5.176345,14.968112
5.180345,14.877365
5.184346,17.963946
5.188346,17.991008
5.192346,17.162040
5.196346,17.734931
5.200347,18.955605
5.204347,19.345700
5.208347,19.746869
5.212347,23.453734
5.216348,22.385308
5.220348,25.136428
5.224348,23.559305
5.228349,26.939603
5.232349,26.011273
5.236349,23.656066
5.240349,24.250106
5.244350,19.319753
5.248350,18.696892
5.252350,12.571064
5.256350,11.955170
5.260351,6.356006
5.264351,4.862744
5.268351,5.244255
5.272351,3.297686
5.276352,4.038540
5.280352,5.659946
5.284352,8.334801
5.288353,12.284682
5.292353,6.242923
5.296353,12.156914
5.300353,10.800453
5.304354,15.197570
5.308354,13.567290
5.312354,12.464621
5.316354,13.743940
5.320355,16.169234
5.324355,14.952327
5.328355,17.735024
5.332355,17.843765
5.336356,20.121717
5.340356,20.180323
5.344356,18.930196
5.348357,16.176833
5.352357,17.563602
5.356357,18.316071
5.360357,14.371098
5.364358,13.077084
5.368358,11.714958
5.372358,7.787099
5.376358,11.181340
5.380359,9.105320
5.384359,11.124303
5.388359,9.930900
5.392359,17.614034
5.396360,19.098538
5.400360,18.613213
5.404360,20.341951
5.408361,18.734069
