Time,Amplitude
0.000000,6.347291
0.004000,13.431724
0.008001,32.987872
0.012001,25.405978
0.016001,26.323824
0.020001,36.070123
0.024002,32.505701
0.028002,35.075892
0.032002,20.568742
0.036002,16.323652
0.040003,22.685322
0.044003,15.938550
0.048003,11.991662
0.052003,15.694638
0.056004,6.327585
0.060004,6.810118
0.064004,5.664425
0.068005,-3.704331
0.072005,6.303441
0.076005,-9.454302
0.080005,-10.213342
0.084006,0.821022
0.088006,8.947102
0.092006,11.948813
0.096006,27.734589
0.100007,27.534000
0.104007,36.704054
0.108007,32.458423
0.112007,31.513674
0.116008,32.818122
0.120008,19.768794
0.124008,15.570773
0.128009,7.169621
0.132009,18.686040
0.136009,17.510493
0.140009,10.259586
0.144010,6.762073
0.148010,8.088591
0.152010,1.208557
0.156010,1.494092
0.160011,-14.532385
0.164011,-8.278191
0.168011,-16.697537
0.172011,-2.354518
0.176012,8.045434
0.180012,-0.740507
0.184012,10.533686
0.188013,24.143070
0.192013,27.632394
0.196013,24.602074
0.200013,21.261249
0.204014,22.461744
0.208014,24.269467
0.212014,27.872741
0.216014,27.969993
0.220015,26.250142
0.224015,15.202450
0.228015,6.073765
0.232015,6.827171
0.236016,19.994276
0.240016,1.523856
0.244016,6.650202
0.248017,-5.048319
0.252017,1.318481
0.256017,-1.628111
0.260017,-4.123671
0.264018,3.752709
0.268018,3.729104
0.272018,8.878117
0.276018,19.020916
0.280019,19.666626
0.284019,26.834453
0.288019,18.613609
0.292019,32.703993
0.296020,21.434216
0.300020,22.819789
0.304020,23.049752
0.308021,10.649439
0.312021,19.053802
0.316021,9.297210
0.320021,15.612416
0.324022,6.218855
0.328022,7.961777
0.332022,0.422752
0.336022,-1.578425
0.340023,-2.905796
0.344023,-2.939720
0.348023,-8.008720
0.352023,-1.574597
0.356024,5.422107
0.360024,4.129102
0.364024,8.046981
0.368025,35.755774
0.372025,29.726227
0.376025,31.804582
0.380025,34.478147
0.384026,32.210971
0.388026,25.661665
0.392026,22.602977
0.396026,13.852841
0.400027,31.446387
0.404027,24.590075
0.408027,6.083103
0.412027,12.709661
0.416028,9.218426
0.420028,5.007986
0.424028,0.260439
0.428029,12.837578
0.432029,0.011771
0.436029,4.363038
0.440029,-2.044643
0.444030,3.689210
0.448030,7.176136
0.452030,7.011630
0.456030,7.661887
0.460031,20.067989
0.464031,35.909366
0.468031,25.456392
0.472031,34.606166
0.476032,18.872554
0.480032,20.222663
0.484032,20.540506
0.488033,9.051784
0.492033,25.811099
0.496033,10.322778
0.500033,15.038023
0.504034,6.009232
0.508034,2.619476
0.512034,8.355563
0.516034,-7.119096
0.520035,-6.380372
0.524035,-5.247520
0.528035,-12.314291
0.532035,-0.714212
0.536036,10.391825
0.540036,-5.133491
0.544036,10.986919
0.548037,13.304550
0.552037,22.870648
0.556037,32.299059
0.560037,21.332401
0.564038,39.159788
0.568038,29.391297
0.572038,34.937945
0.576038,16.887839
0.580039,28.322190
0.584039,24.714595
0.588039,12.540309
0.592039,18.535835
0.596040,15.431680
0.600040,12.882316
0.604040,14.735975
0.608041,-8.315516
0.612041,-10.898233
0.616041,-2.563948
0.620041,0.946428
0.624042,-11.658046
0.628042,-9.481785
0.632042,2.996378
0.636042,22.915643
0.640043,21.950969
0.644043,25.145649
0.648043,28.442006
0.652043,23.832914
0.656044,33.109650
0.660044,30.430767
0.664044,17.169299
0.668045,15.531416
0.672045,16.939959
0.676045,12.625807
0.680045,5.033879
0.684046,-2.170773
0.688046,14.612949
0.692046,-1.172608
0.696046,-0.947218
0.700047,-5.214227
0.704047,0.994022
0.708047,-5.069926
0.712047,-1.282573
0.716048,-5.037416
0.720048,6.025850
0.724048,1.154343
0.728049,10.831135
0.732049,18.653127
0.736049,23.367798
0.740049,24.584807
0.744050,36.818211
0.748050,41.789404
0.752050,16.887798
0.756050,30.571709
0.760051,28.924438
0.764051,15.666763
0.768051,21.194950
0.772051,15.603565
0.776052,18.383280
0.780052,6.337616
0.784052,15.845916
0.788053,2.945631
0.792053,1.753938
0.796053,-0.273224
0.800053,-14.829712
0.804054,9.244657
0.808054,0.896250
0.812054,7.901906
0.816054,8.061449
0.820055,14.708455
0.824055,16.199793
0.828055,24.311682
0.832055,28.267433
0.836056,32.482578
0.840056,23.225063
0.844056,35.119677
0.848057,9.429428
0.852057,21.823499
0.856057,18.377199
0.860057,10.036873
0.864058,-3.307871
0.868058,13.356933
0.872058,11.946652
0.876058,1.436515
0.880059,-5.557639
0.884059,2.948240
0.888059,-12.055646
0.892059,-3.970512
0.896060,-11.052974
0.900060,11.730735
0.904060,-1.841789
0.908061,7.778960
0.912061,12.049361
0.916061,30.451581
0.920061,17.769168
0.924062,24.570748
0.928062,35.110001
0.932062,29.981309
0.936062,28.886294
0.940063,22.834624
0.944063,11.448758
0.948063,24.870801
0.952063,11.097313
0.956064,21.448317
0.960064,8.220217
0.964064,6.824496
0.968065,9.307937
0.972065,0.938459
0.976065,-2.526618
0.980065,-6.524861
0.984066,-1.550991
0.988066,-10.432923
0.992066,2.065001
0.996066,14.188516
1.000067,12.805974
1.004067,15.642460
1.008067,33.575496
1.012067,29.986490
1.016068,27.066502
1.020068,26.743981
1.024068,17.567051
1.028069,10.947242
1.032069,18.246502
1.036069,14.467518
1.040069,10.019469
1.044070,7.055987
1.048070,19.799505
1.052070,11.586762
1.056070,5.943528
1.060071,7.656324
1.064071,-11.790448
1.068071,3.999815
1.072071,-3.057045
1.076072,-8.983492
1.080072,-2.326666
1.084072,-17.245474
1.088073,10.361503
1.092073,15.766410
1.096073,22.375400
1.100073,19.612491
1.104074,25.788896
1.108074,35.364524
1.112074,36.240689
1.116074,16.510180
1.120075,23.241789
1.124075,19.973179
1.128075,22.036812
1.132075,13.860926
1.136076,14.190116
1.140076,13.476685
1.144076,9.616655
1.148077,7.470514
1.152077,12.631427
1.156077,1.786915
1.160077,7.552987
1.164078,0.431364
1.168078,-12.705244
1.172078,-6.431744
1.176078,9.377717
1.180079,4.355692
1.184079,23.305951
1.188079,31.234296
1.192079,29.096573
1.196080,30.819195
1.200080,22.432777
1.204080,27.356843
1.208081,18.899919
1.212081,17.191694
1.216081,0.350919
1.220081,12.199792
1.224082,13.795234
1.228082,1.015612
1.232082,5.108872
1.236082,5.106270
1.240083,1.334585
1.244083,-5.184090
1.248083,-0.638104
1.252083,4.558942
1.256084,0.910925
1.260084,7.043850
1.264084,-2.300687
1.268085,-3.296173
1.272085,14.435498
1.276085,14.984009
1.280085,19.502136
1.284086,33.482519
1.288086,36.565448
1.292086,31.998633
1.296086,34.752751
1.300087,27.262391
1.304087,17.469043
1.308087,25.492460
1.312087,12.605681
1.316088,12.628211
1.320088,18.090652
1.324088,18.731485
1.328089,2.521803
1.332089,19.637669
1.336089,-2.620148
1.340089,4.709640
1.344090,-4.020420
1.348090,-2.364148
1.352090,-5.876866
1.356090,8.454557
1.360091,3.107369
1.364091,12.925926
1.368091,22.147489
1.372091,19.111914
1.376092,24.487586
1.380092,36.373755
1.384092,21.279723
1.388093,21.323538
1.392093,24.319275
1.396093,11.021450
1.400093,16.807689
1.404094,3.824063
1.408094,19.175889
1.412094,5.831670
1.416094,13.131724
1.420095,-1.689824
1.424095,-5.730100
1.428095,0.398079
1.432095,-5.183210
1.436096,4.673968
1.440096,11.922080
1.444096,-3.238219
1.448097,-2.830889
1.452097,15.783744
1.456097,13.213186
1.460097,25.208615
1.464098,26.707923
1.468098,34.969703
1.472098,36.319368
1.476098,26.350755
1.480099,25.046680
1.484099,22.074134
1.488099,13.039412
1.492099,22.447667
1.496100,13.595264
1.500100,16.008801
1.504100,12.163280
1.508101,14.719633
1.512101,19.133510
1.516101,9.792883
1.520101,0.327309
1.524102,6.274559
1.528102,-0.280288
1.532102,0.373462
1.536102,5.659118
1.540103,6.877612
1.544103,16.393424
1.548103,26.968143
1.552103,17.956947
1.556104,13.584990
1.560104,23.010253
1.564104,18.167662
1.568105,31.556037
1.572105,12.194421
1.576105,32.266717
1.580105,15.018437
1.584106,6.181131
1.588106,22.490065
1.592106,17.450453
1.596106,-2.987654
1.600107,6.308207
1.604107,-2.297800
1.608107,5.984776
1.612107,-9.017917
1.616108,-7.127192
1.620108,-17.489248
1.624108,-3.408068
1.628109,6.356669
1.632109,12.565165
1.636109,8.058420
1.640109,17.819824
1.644110,19.524360
1.648110,33.907963
1.652110,20.999773
1.656110,44.434363
1.660111,23.156464
1.664111,23.792955
1.668111,12.867911
1.672111,20.617556
1.676112,14.188694
1.680112,21.964684
1.684112,11.977711
1.688113,5.210235
1.692113,6.803599
1.696113,7.461929
1.700113,20.950637
1.704114,-11.567820
1.708114,2.977761
1.712114,9.653231
1.716114,-11.644173
1.720115,-8.978535
