Time,Amplitude
0.000000,11.803530
0.004000,18.882267
0.008001,33.310191
0.012001,31.820365
0.016001,20.043823
0.020001,19.517668
0.024002,19.703072
0.028002,7.316566
0.032002,5.971620
0.036002,2.284801
0.040003,-2.282186
0.044003,-7.488212
0.048003,5.226616
0.052003,17.602555
0.056004,24.835505
0.060004,24.544622
0.064004,26.588622
0.068005,15.266882
0.072005,16.450793
0.076005,12.786017
0.080005,5.151470
0.084006,-5.749596
0.088006,-2.559986
0.092006,-5.833041
0.096006,-1.488118
0.100007,20.702278
0.104007,24.871049
0.108007,34.688972
0.112007,25.805431
0.116008,27.577480
0.120008,19.204147
0.124008,12.476521
0.128009,5.566320
0.132009,6.578717
0.136009,5.030653
0.140009,-6.268424
0.144010,-1.339995
0.148010,4.472409
0.152010,16.952349
0.156010,24.732302
0.160011,28.276350
0.164011,23.424221
0.168011,16.531669
0.172011,11.898488
0.176012,7.267651
0.180012,5.222555
0.184012,-4.628883
0.188013,-8.227508
0.192013,-5.416038
0.196013,-0.525898
0.200013,13.376485
0.204014,11.158055
0.208014,28.718506
0.212014,28.800099
0.216014,29.653693
0.220015,21.378972
0.224015,14.659813
0.228015,10.525781
0.232015,11.336518
0.236016,0.006930
0.240016,-5.956863
0.244016,5.087363
0.248017,7.978524
0.252017,13.372946
0.256017,12.244664
0.260017,23.195519
0.264018,24.432218
0.268018,15.302044
0.272018,18.500101
0.276018,7.147636
0.280019,-1.604425
0.284019,1.792703
0.288019,-6.139816
0.292019,-12.674822
0.296020,6.626226
0.300020,9.043044
0.304020,27.320428
0.308021,36.959641
0.312021,26.954182
0.316021,23.151704
0.320021,21.724439
0.324022,15.087906
0.328022,21.229791
0.332022,3.368766
0.336022,1.767273
0.340023,-0.486384
0.344023,-3.874190
0.348023,7.594740
0.352023,21.669735
0.356024,22.775145
0.360024,34.000787
0.364024,25.631449
0.368025,15.051469
0.372025,7.184501
0.376025,3.373619
0.380025,-1.522398
0.384026,2.452213
0.388026,-9.087194
0.392026,-4.356816
