Time,Amplitude,Channel
0.000,12.45,Fp1
0.004,15.23,Fp1
0.008,18.67,Fp1
0.012,16.34,Fp1
0.016,13.12,Fp1
0.020,10.89,Fp1
0.024,9.45,Fp1
0.028,11.23,Fp1
0.032,14.56,Fp1
0.036,17.89,Fp1
0.040,19.23,Fp1
0.044,18.45,Fp1
0.048,15.67,Fp1
0.052,12.34,Fp1
0.056,10.12,Fp1
0.060,9.78,Fp1
0.064,11.45,Fp1
0.068,14.23,Fp1
0.072,17.56,Fp1
0.076,19.89,Fp1
0.080,20.12,Fp1
0.084,18.67,Fp1
0.088,15.34,Fp1
0.092,12.45,Fp1
0.096,10.67,Fp1
0.100,10.23,Fp1
0.104,11.89,Fp1
0.108,14.56,Fp1
0.112,17.23,Fp1
0.116,19.45,Fp1
0.120,20.34,Fp1
0.124,19.12,Fp1
0.128,16.45,Fp1
0.132,13.67,Fp1
0.136,11.23,Fp1
0.140,10.45,Fp1
0.144,11.12,Fp1
0.148,13.78,Fp1
0.152,16.89,Fp1
0.156,19.23,Fp1
0.160,20.45,Fp1
0.164,19.67,Fp1
0.168,17.12,Fp1
0.172,14.34,Fp1
0.176,11.89,Fp1
0.180,10.67,Fp1
0.184,11.23,Fp1
0.188,13.45,Fp1
0.192,16.34,Fp1
0.196,18.89,Fp1
0.200,20.12,Fp1
0.204,19.78,Fp1
0.208,17.45,Fp1
0.212,14.67,Fp1
0.216,12.23,Fp1
0.220,10.89,Fp1
0.224,11.34,Fp1
0.228,13.67,Fp1
0.232,16.45,Fp1
0.236,18.78,Fp1
0.240,20.01,Fp1
0.244,19.56,Fp1
0.248,17.23,Fp1
0.252,14.45,Fp1
0.256,12.12,Fp1
0.260,10.78,Fp1
0.264,11.45,Fp1
0.268,13.89,Fp1
0.272,16.67,Fp1
0.276,18.90,Fp1
0.280,20.23,Fp1
0.284,19.45,Fp1
0.288,17.01,Fp1
0.292,14.23,Fp1
0.296,11.89,Fp1
0.300,10.67,Fp1
