Time,Amplitude,Channel
0.000,8.23,Oz
0.004,10.45,Oz
0.008,13.67,Oz
0.012,15.89,Oz
0.016,16.23,Oz
0.020,14.56,Oz
0.024,11.34,Oz
0.028,8.67,Oz
0.032,7.23,Oz
0.036,8.45,Oz
0.040,11.67,Oz
0.044,14.89,Oz
0.048,16.45,Oz
0.052,15.78,Oz
0.056,13.12,Oz
0.060,10.23,Oz
0.064,8.45,Oz
0.068,8.12,Oz
0.072,10.34,Oz
0.076,13.56,Oz
0.080,15.89,Oz
0.084,16.12,Oz
0.088,14.45,Oz
0.092,11.67,Oz
0.096,9.23,Oz
0.100,8.01,Oz
0.104,8.78,Oz
0.108,11.23,Oz
0.112,14.45,Oz
0.116,16.12,Oz
0.120,15.89,Oz
0.124,13.67,Oz
0.128,10.89,Oz
0.132,8.67,Oz
0.136,7.89,Oz
0.140,9.12,Oz
0.144,12.34,Oz
0.148,15.01,Oz
0.152,16.23,Oz
0.156,15.34,Oz
0.160,12.89,Oz
0.164,10.12,Oz
0.168,8.45,Oz
0.172,8.23,Oz
0.176,10.45,Oz
0.180,13.67,Oz
0.184,15.78,Oz
0.188,16.01,Oz
0.192,14.23,Oz
0.196,11.45,Oz
0.200,9.12,Oz
0.204,8.34,Oz
0.208,9.56,Oz
0.212,12.45,Oz
0.216,14.89,Oz
0.220,15.67,Oz
0.224,14.34,Oz
0.228,11.78,Oz
0.232,9.45,Oz
0.236,8.23,Oz
0.240,9.01,Oz
0.244,11.67,Oz
0.248,14.23,Oz
0.252,15.45,Oz
0.256,14.89,Oz
0.260,12.34,Oz
0.264,9.89,Oz
0.268,8.56,Oz
0.272,8.90,Oz
0.276,11.34,Oz
0.280,13.89,Oz
0.284,15.12,Oz
0.288,14.67,Oz
0.292,12.01,Oz
0.296,9.67,Oz
0.300,8.45,Oz
