Time,Signal,Electrode
0.000,5.12,C3
0.004,6.34,C3
0.008,8.45,C3
0.012,9.67,C3
0.016,9.89,C3
0.020,8.56,C3
0.024,6.78,C3
0.028,5.23,C3
0.032,4.56,C3
0.036,5.34,C3
0.040,7.12,C3
0.044,8.89,C3
0.048,9.67,C3
0.052,9.12,C3
0.056,7.45,C3
0.060,5.89,C3
0.064,4.78,C3
0.068,5.01,C3
0.072,6.67,C3
0.076,8.45,C3
0.080,9.34,C3
0.084,9.01,C3
0.088,7.67,C3
0.092,6.12,C3
0.096,5.23,C3
0.100,5.45,C3
0.104,6.89,C3
0.108,8.23,C3
0.112,9.12,C3
0.116,8.89,C3
0.120,7.45,C3
0.124,6.01,C3
0.128,5.34,C3
0.132,5.67,C3
0.136,7.12,C3
0.140,8.45,C3
0.144,9.01,C3
0.148,8.67,C3
0.152,7.23,C3
0.156,5.89,C3
0.160,5.12,C3
0.164,5.78,C3
0.168,7.34,C3
0.172,8.56,C3
0.176,9.12,C3
0.180,8.45,C3
0.184,6.89,C3
0.188,5.67,C3
0.192,5.23,C3
0.196,6.12,C3
0.200,7.56,C3
0.204,8.67,C3
0.208,8.89,C3
0.212,8.12,C3
0.216,6.78,C3
0.220,5.56,C3
0.224,5.34,C3
0.228,6.45,C3
0.232,7.89,C3
0.236,8.78,C3
0.240,8.67,C3
0.244,7.45,C3
0.248,6.23,C3
0.252,5.45,C3
0.256,5.89,C3
0.260,7.01,C3
0.264,8.12,C3
0.268,8.56,C3
0.272,8.01,C3
0.276,6.89,C3
0.280,5.78,C3
0.284,5.45,C3
0.288,6.23,C3
0.292,7.45,C3
0.296,8.23,C3
0.300,8.34,C3
